SCHW,176773
OIH,174423
TLT,173224
AG,171514
CSCO,168522
SPN,168439
MRO,166898
ENDP,166559
BUD,165394
LABU,163744
BABA,162337
VIAB,162028
NUGT,161966
MDY,160844
OAS,160820
APC,160484
HES,160346
QCOM,160222
RRC,159498
AMAT,158522
QEP,157697
XLV,156982
M,156576
XLU,156274
CNQ,155259
IWO,154714
CMCSA,154449
GLD,153674
XLB,152233
MYL,151317
WPX,151048
DGAZ,150867
XOM,150705
JNJ,149939
GPOR,149771
KMI,148963
NFX,148813
RICE,148766
MUR,148220
STLD,147753
PSX,147110
USO,146317
WMB,144865
VOD,142515
USB,142171
UPRO,142118
EEM,141635
IYE,141439
HD,141059
ABT,140876
STX,140358
DOW,139752
ETE,139608
STI,139339
BTI,138933
PNC,138531
VIXY,138374
COG,138294
WFC,137867
LRCX,137489
CTRP,136509
EOG,136320
FNV,136165
DIS,135997
ZION,135205
KLAC,134863
NOV,134114
ESRX,132517
KRE,131111
GOOG,130363
ECA,129875
GOOGL,129791
SU,129022
TWX,128895
ORCL,128596
TCK,128531
COST,128363
ESV,127271
GSK,127259
CF,126659
LBTYB,126650
TWTR,126278
AAL,125946
GOLD,125918
SSO,124629
APA,124434
HPE,124071
PTEN,123322
EDZ,123280
AU,123178
ROST,122819
CRM,122667
RIG,122432
BBT,122416
CCE,121928
WBA,121735
FITB,121426
LPI,121250
NKE,121009
HSBC,120932
FAZ,120795
XLK,120646
VLO,119931
SAP,119804
HCA,119710
EDC,119333
TXN,119310
EBAY,119199
MPC,119046
PPL,118724
SBUX,117814
FEYE,117749
POT,117183
ADSK,117029
FOXA,116743
V,116396
PYPL,116362
XEL,116184
QLD,115519
LVS,115423
CCL,115053
VZ,115024
DD,114720
AEP,114346
CRUS,113917
T,113772
ASML,112422
UNP,112420
MET,112299
GME,112285
IJH,111670
XLP,111656
AEM,111620
AKRX,111415
JOY,111281
WYNN,111144
DAL,111057
TS,110893
XBI,110458
LOW,110346
VTI,110334
THC,110313
MDLZ,110292
OXY,110113
CUK,109985
AMJ,109925
MGA,109817
XLI,109616
RDC,109379
KBE,109078
UAL,108986
MA,108936
EA,108857
EWBC,108674
ARMH,108476
SO,108298
DTE,108174
WEC,108138
FXI,107714
VOO,107268
ENB,107240
CBS,107210
SMH,107174
PRU,106995
CL,106826
PACW,106663
CSX,106273
ZG,106101
MRK,106075
BX,105769
BAX,105765
ERY,105726
TWM,104888
KO,104373
TZA,104289
SSRI,103518
ADBE,572984
QQQ,558921
SPY,543476
VXX,522372
UVXY,496253
XIV,410928
AAPL,349205
IWM,297825
XLE,289209
TLT,277001
TNA,275552
TQQQ,272244
SVXY,268292
FB,243330
TZA,236041
MSFT,222443
DGAZ,193376
RDS.A,185800
XLV,178349
XLY,170808
DIA,168560
XOM,164962
SBUX,160541
YHOO,157915
COP,156439
SCO,152224
GILD,151136
C,150942
SLB,149466
CVX,143628
XOP,141578
WMB,141087
VRX,140644
MDY,139985
XRX,139092
SRTY,137723
QCOM,136638
DAL,134931
INTC,134753
ETE,132603
KMI,131203
AAL,131158
JPM,130696
WFC,129716
NFLX,129306
QID,125480
VIXY,123378
FBGX,123360
SPXU,123336
IVZ,122004
IWO,121954
FAS,121510
ASML,120799
GPS,120792
NBL,119932
EFA,119612
TXN,119435
UBIO,118601
CMCSA,118480
CCL,118095
OIH,115951
CAM,114928
EEM,114419
SE,114346
VNQ,113730
BMY,113560
RDS.B,113463
TVIX,111873
TWM,111555
UTX,111444
CVS,111308
TWTR,111224
AIG,110680
GE,109779
MRK,108764
STX,108359
TBT,108029
ORCL,107178
BAC,106847
AEM,106687
MPC,106322
MDLZ,104940
DIS,104591
MET,104506
DVN,104317
LLY,103734
V,103554
OXY,103528
HAL,103465
UL,103456
CUK,103041
MS,102926
BRCM,102758
BP,101714
CAT,101321
SHPG,100966
WFM,100946
MDT,100600
SCHW,100505
ESRX,100150
PG,100020
RIO,99753
RRC,99185
FOXA,99028
AMZN,98503
BUD,98078
JBLU,97479
DOW,96869
COG,96579
UN,96281
EOG,95846
QLD,95186
VLO,95036
XLI,94493
UCO,93782
CTSH,93026
PYPL,92968
CSCO,92957
EMR,92869
IVV,92825
WSH,92694
VZ,92553
M,92360
APC,92360
ETP,92185
ATVI,92178
WTW,92111
PM,91982
BBT,91786
PTEN,91680
LUV,91496
JNJ,91495
VOD,90545
ABT,90019
VIAB,90013
CP,89941
TW,89575
SQQQ,89272
GS,89135
ROST,89001
DISCA,88536
ETN,88493
GSK,88444
IYR,88168
TGT,88097
RY,87077
UPRO,86674
SSO,86656
HD,86471
GOOGL,86164
DFS,86078
OAS,86030
LBTYA,85971
VIIX,85933
KO,85904
USO,85727
CNI,85693
TROW,85179
EWZ,84949
UNG,84568
BK,84419
BRK.B,83529
VDE,83456
MYL,83339
ERY,83210
LBTYK,83172
EPD,82909
T,82812
PFE,82702
MRO,82306
SU,81746
UAL,81721
DDM,81427
STI,81296
NVDA,81183
XLP,81177
